Problema,Respuesta
cirujano tiene 80 balones y le extraen 12 balones ¿Cuantos tiene al final?,Al final tiene 68 balones
hay 80 tortillas en una mesa y se comen 52 ¿Cuantos tortillas quedan?,Quedan 28 tortillas
un camarero tiene 93 lapices y le quitan 17 lapices ¿Cuantos tiene al final?,Al final tiene 76 lapices
perro tiene 4 carteras y le entregan 35 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 39 carteras
piloto tiene 66 mesas y le dan 70 mesas ¿Cuantos hay al final ?,Al final hay 136 mesas
un mecanico tiene 60 relojes y le extraen 18 relojes ¿Cuantos le queda?,Le queda 42 relojes
un camarero tiene 88 teles y excluye 65 teles ¿Cuanto queda?,Queda 23 teles
hay 65 niños en clase y se van 4 ¿Cuantos niños quedan?,Quedan 61 niños
Una azafata tiene 16 sillas y le extraen 11 sillas ¿Cuanto queda?,Queda 5 sillas
un mecanico tiene 23 unidades y con una diferencia 6 unidades ¿Cuantos le queda?,Le queda 17 unidades
Roberto tiene 18 balones de basquet y Pablo tiene 59 balones de basquet ¿Cuantos balones hay en total?,En total hay 77 balones
pablito  tiene 73 frutas y suma 32 frutas ¿Cuantos hay al final ?,Al final hay 105 frutas
jose tiene 29 canicas y le entregan 18 canicas ¿Cuantos hay al final ?,Al final hay 47 canicas
medico tiene 85 carteras y incluye 6 carteras ¿Cuantos hay al final ?,Al final hay 91 carteras
Pedro tiene 77 balones de voley y Celeste tiene 53 balones de futbol ¿Cuantos balones hay en total?,En total hay 130 balones
un camarero tiene 93 sillas y añade 88 sillas ¿Cuantos hay en total?,En total hay 181 sillas
profesor tiene 46 unidades y con una diferencia 21 unidades ¿Cuantos le queda?,Le queda 25 unidades
Pedro tiene 78 toronjas y Lorena tiene 23 toronjas ¿Cuantos frutas hay en total?,En total hay 101 frutas
fontanero tiene 90 sillas y resta 32 sillas ¿Cuantos tiene al final?,Al final tiene 58 sillas
un obrero tiene 6 pajaros y con una diferencia 5 pajaros ¿Cuantos tiene al final?,Al final tiene 1 pajaros
hay 63 niños en clase y se van 83 ¿Cuantos niños quedan?,Quedan 20 niños
un camarero tiene 70 sillas y con una diferencia 63 sillas ¿Cuanto queda?,Queda 7 sillas
Lorena tiene 33 coco y Ana tiene 81 uvas ¿Cuantos frutas hay en total?,En total hay 114 frutas
profesor tiene 78 carteras y le quitan 70 carteras ¿Cuanto queda?,Queda 8 carteras
Federico tiene 32 sandias y Pablo tiene 74 peras ¿Cuantos frutas hay en total?,En total hay 106 frutas
Pablo tiene 39 balones de voley y Ana tiene 17 balones de rugby ¿Cuantos balones hay en total?,En total hay 56 balones
Gustavo tiene 55 balones de basquet y Lucas tiene 19 balones de basquet ¿Cuantos balones hay en total?,En total hay 74 balones
ingeniero tiene 88 carteras y con una diferencia 22 carteras ¿Cuantos tiene al final?,Al final tiene 66 carteras
paloma tiene 43 piedras y le entregan 85 piedras ¿Cuantos hay al final ?,Al final hay 128 piedras
hay 25 tortillas en una mesa y se comen 18 ¿Cuantos tortillas quedan?,Quedan 7 tortillas
paloma tiene 30 mesas y le extraen 8 mesas ¿Cuantos le queda?,Le queda 22 mesas
hay 66 niños en clase y se van 23 ¿Cuantos niños quedan?,Quedan 43 niños
hay 34 niños en clase y se van 56 ¿Cuantos niños quedan?,Quedan 22 niños
pablito  tiene 72 frutas y añade 34 frutas ¿Cuantos tienen entre los dos?,Entre los dos tienen 106 frutas
fontanero tiene 3 canicas y añade 32 canicas ¿Cuantos tienen entre los dos?,Entre los dos tienen 35 canicas
un actor tiene 72 pajaros y excluye 39 pajaros ¿Cuanto queda?,Queda 33 pajaros
una actriz tiene 57 lapices y le dan 75 lapices ¿Cuantos hay en total?,En total hay 132 lapices
hay 13 tortillas en una mesa y se comen 88 ¿Cuantos tortillas quedan?,Quedan 75 tortillas
perro tiene 13 animales y le extraen 4 animales ¿Cuantos tiene al final?,Al final tiene 9 animales
un policia tiene 64 sillas y le extraen 42 sillas ¿Cuanto queda?,Queda 22 sillas
una actriz tiene 82 piedras y le entregan 27 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 109 piedras
un policia tiene 27 pajaros y suma 6 pajaros ¿Cuantos hay en total?,En total hay 33 pajaros
piloto tiene 97 carteras y con una diferencia 59 carteras ¿Cuantos tiene al final?,Al final tiene 38 carteras
Cesar tiene 45 balones de tenis y Pablo tiene 11 balones de futbol ¿Cuantos balones hay en total?,En total hay 56 balones
ingeniero tiene 62 piedras y con una diferencia 44 piedras ¿Cuantos le queda?,Le queda 18 piedras
jose tiene 48 carteras y suma 57 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 105 carteras
un albañil tiene 40 teles y le dan 57 teles ¿Cuantos hay al final ?,Al final hay 97 teles
hay 37 niños en clase y se van 60 ¿Cuantos niños quedan?,Quedan 23 niños
hay 22 niños en clase y se van 90 ¿Cuantos niños quedan?,Quedan 68 niños
profesor tiene 93 coches y con una diferencia 78 coches ¿Cuanto queda?,Queda 15 coches
piloto tiene 50 carteras y con una diferencia 34 carteras ¿Cuantos tiene al final?,Al final tiene 16 carteras
un obrero tiene 53 unidades y suma 46 unidades ¿Cuantos hay al final ?,Al final hay 99 unidades
hay 55 pajaros en un arbol y se van volando 26 ¿Cuantos pajaros quedan?,Quedan 29 pajaros
un albañil tiene 67 moviles y le extraen 57 moviles ¿Cuantos le queda?,Le queda 10 moviles
un camarero tiene 86 pajaros y resta 85 pajaros ¿Cuantos tiene al final?,Al final tiene 1 pajaros
Gustavo tiene 23 sandias y Lucas tiene 39 coco ¿Cuantos frutas hay en total?,En total hay 62 frutas
Lorena tiene 58 balones de futbol y Juan tiene 95 balones de rugby ¿Cuantos balones hay en total?,En total hay 153 balones
hay 91 pajaros en un arbol y se van volando 16 ¿Cuantos pajaros quedan?,Quedan 75 pajaros
Lorena tiene 85 papayas y Juan tiene 81 platano ¿Cuantos frutas hay en total?,En total hay 166 frutas
hay 31 niños en clase y se van 91 ¿Cuantos niños quedan?,Quedan 60 niños
hay 21 niños en clase y se van 63 ¿Cuantos niños quedan?,Quedan 42 niños
Roberto tiene 97 balones de voley y Julio tiene 7 balones de voley ¿Cuantos balones hay en total?,En total hay 104 balones
Roberto tiene 39 uvas y Cesar tiene 1 toronjas ¿Cuantos frutas hay en total?,En total hay 40 frutas
hay 25 pajaros en un arbol y se van volando 25 ¿Cuantos pajaros quedan?,Quedan 0 pajaros
Lorena tiene 71 manzanas y Pablo tiene 24 uvas ¿Cuantos frutas hay en total?,En total hay 95 frutas
hay 33 niños en clase y se van 3 ¿Cuantos niños quedan?,Quedan 30 niños
Pablo tiene 70 balones de basquet y Pedro tiene 73 balones de basquet ¿Cuantos balones hay en total?,En total hay 143 balones
programador tiene 80 mesas y incluye 46 mesas ¿Cuantos hay en total?,En total hay 126 mesas
hay 59 niños en clase y se van 69 ¿Cuantos niños quedan?,Quedan 10 niños
un bombero tiene 100 canicas y le quitan 33 canicas ¿Cuanto queda?,Queda 67 canicas
cirujano tiene 46 sillas y le quitan 23 sillas ¿Cuanto queda?,Queda 23 sillas
Celeste tiene 47 balones de tenis y Lorena tiene 29 balones de tenis ¿Cuantos balones hay en total?,En total hay 76 balones
hay 82 pajaros en un arbol y se van volando 100 ¿Cuantos pajaros quedan?,Quedan 18 pajaros
ingeniero tiene 33 lapices y le dan 26 lapices ¿Cuantos hay en total?,En total hay 59 lapices
hay 63 pajaros en un arbol y se van volando 88 ¿Cuantos pajaros quedan?,Quedan 25 pajaros
un camarero tiene 78 pajaros y suma 34 pajaros ¿Cuantos hay en total?,En total hay 112 pajaros
hay 2 tortillas en una mesa y se comen 97 ¿Cuantos tortillas quedan?,Quedan 95 tortillas
un bombero tiene 93 sillas y le extraen 76 sillas ¿Cuantos tiene al final?,Al final tiene 17 sillas
Julio tiene 15 balones de basquet y Lucas tiene 54 balones de voley ¿Cuantos balones hay en total?,En total hay 69 balones
Pablo tiene 17 balones de tenis y Lucas tiene 96 balones de futbol ¿Cuantos balones hay en total?,En total hay 113 balones
Juan tiene 1 balones de tenis y Ana tiene 21 balones de basquet ¿Cuantos balones hay en total?,En total hay 22 balones
Cesar tiene 44 balones de rugby y Lorena tiene 50 balones de basquet ¿Cuantos balones hay en total?,En total hay 94 balones
hay 66 pajaros en un arbol y se van volando 79 ¿Cuantos pajaros quedan?,Quedan 13 pajaros
un bombero tiene 18 coches y suma 12 coches ¿Cuantos hay al final ?,Al final hay 30 coches
hay 46 pajaros en un arbol y se van volando 9 ¿Cuantos pajaros quedan?,Quedan 37 pajaros
Celeste tiene 53 balones de futbol y Federico tiene 19 balones de tenis ¿Cuantos balones hay en total?,En total hay 72 balones
perro tiene 54 pajaros y resta 33 pajaros ¿Cuantos tiene al final?,Al final tiene 21 pajaros
un obrero tiene 26 sillas y suma 27 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 53 sillas
Pedro tiene 41 balones de rugby y Celeste tiene 67 balones de basquet ¿Cuantos balones hay en total?,En total hay 108 balones
un cirujano tiene 95 animales y con una diferencia 70 animales ¿Cuanto queda?,Queda 25 animales
hay 10 pajaros en un arbol y se van volando 60 ¿Cuantos pajaros quedan?,Quedan 50 pajaros
hay 88 niños en clase y se van 82 ¿Cuantos niños quedan?,Quedan 6 niños
piloto tiene 82 canicas y excluye 63 canicas ¿Cuanto queda?,Queda 19 canicas
programador tiene 29 sillas y le extraen 12 sillas ¿Cuantos tiene al final?,Al final tiene 17 sillas
medico tiene 77 lapices y le entregan 60 lapices ¿Cuantos hay al final ?,Al final hay 137 lapices
hay 74 pajaros en un arbol y se van volando 34 ¿Cuantos pajaros quedan?,Quedan 40 pajaros
jose tiene 42 moviles y resta 33 moviles ¿Cuanto queda?,Queda 9 moviles
hay 68 tortillas en una mesa y se comen 17 ¿Cuantos tortillas quedan?,Quedan 51 tortillas
una actriz tiene 31 lapices y incluye 35 lapices ¿Cuantos hay al final ?,Al final hay 66 lapices
Francisco tiene 57 balones de tenis y Julio tiene 67 balones de tenis ¿Cuantos balones hay en total?,En total hay 124 balones
hay 78 niños en clase y se van 73 ¿Cuantos niños quedan?,Quedan 5 niños
pablito  tiene 53 frutas y añade 18 frutas ¿Cuantos tienen entre los dos?,Entre los dos tienen 71 frutas
hay 40 pajaros en un arbol y se van volando 8 ¿Cuantos pajaros quedan?,Quedan 32 pajaros
Lorena tiene 35 papayas y Juan tiene 20 sandias ¿Cuantos frutas hay en total?,En total hay 55 frutas
hay 89 pajaros en un arbol y se van volando 52 ¿Cuantos pajaros quedan?,Quedan 37 pajaros
Roberto tiene 90 balones de futbol y Lucas tiene 93 balones de futbol ¿Cuantos balones hay en total?,En total hay 183 balones
piloto tiene 25 frutas y le dan 64 frutas ¿Cuantos hay en total?,En total hay 89 frutas
pablito  tiene 37 animales y le dan 26 animales ¿Cuantos hay en total?,En total hay 63 animales
una actriz tiene 37 unidades y le extraen 26 unidades ¿Cuanto queda?,Queda 11 unidades
un camarero tiene 60 unidades y con una diferencia 39 unidades ¿Cuantos tiene al final?,Al final tiene 21 unidades
Pedro tiene 49 sandias y Cesar tiene 77 coco ¿Cuantos frutas hay en total?,En total hay 126 frutas
Pedro tiene 52 coco y Gustavo tiene 75 manzanas ¿Cuantos frutas hay en total?,En total hay 127 frutas
cirujano tiene 65 moviles y le dan 40 moviles ¿Cuantos hay en total?,En total hay 105 moviles
hay 15 pajaros en un arbol y se van volando 51 ¿Cuantos pajaros quedan?,Quedan 36 pajaros
hay 25 niños en clase y se van 61 ¿Cuantos niños quedan?,Quedan 36 niños
hay 39 tortillas en una mesa y se comen 40 ¿Cuantos tortillas quedan?,Quedan 1 tortillas
Julio tiene 17 balones de voley y Federico tiene 90 balones de futbol ¿Cuantos balones hay en total?,En total hay 107 balones
Enrique tiene 99 unidades y le entregan 38 unidades ¿Cuantos hay en total?,En total hay 137 unidades
medico tiene 85 lapices y incluye 100 lapices ¿Cuantos hay al final ?,Al final hay 185 lapices
ingeniero tiene 100 carteras y con una diferencia 38 carteras ¿Cuantos tiene al final?,Al final tiene 62 carteras
hay 12 tortillas en una mesa y se comen 74 ¿Cuantos tortillas quedan?,Quedan 62 tortillas
un obrero tiene 78 mesas y le quitan 63 mesas ¿Cuantos tiene al final?,Al final tiene 15 mesas
Lucas tiene 83 balones de voley y Pedro tiene 29 balones de tenis ¿Cuantos balones hay en total?,En total hay 112 balones
Juan tiene 28 balones de voley y Gustavo tiene 17 balones de voley ¿Cuantos balones hay en total?,En total hay 45 balones
un obrero tiene 2 carteras y le entregan 95 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 97 carteras
paloma tiene 56 animales y le dan 5 animales ¿Cuantos hay al final ?,Al final hay 61 animales
medico tiene 11 mesas y le dan 60 mesas ¿Cuantos hay en total?,En total hay 71 mesas
Julio tiene 31 balones de voley y Gustavo tiene 79 balones de tenis ¿Cuantos balones hay en total?,En total hay 110 balones
medico tiene 83 relojes y le dan 74 relojes ¿Cuantos hay al final ?,Al final hay 157 relojes
paloma tiene 32 moviles y suma 91 moviles ¿Cuantos hay al final ?,Al final hay 123 moviles
hay 10 tortillas en una mesa y se comen 77 ¿Cuantos tortillas quedan?,Quedan 67 tortillas
ingeniero tiene 75 animales y resta 32 animales ¿Cuantos tiene al final?,Al final tiene 43 animales
perro tiene 5 carteras y suma 92 carteras ¿Cuantos hay al final ?,Al final hay 97 carteras
Pablo tiene 100 toronjas y Julio tiene 14 uvas ¿Cuantos frutas hay en total?,En total hay 114 frutas
Ana tiene 96 ciruela y Lorena tiene 66 manzanas ¿Cuantos frutas hay en total?,En total hay 162 frutas
un obrero tiene 98 piedras y excluye 10 piedras ¿Cuantos tiene al final?,Al final tiene 88 piedras
hay 84 niños en clase y se van 66 ¿Cuantos niños quedan?,Quedan 18 niños
profesor tiene 25 mesas y suma 93 mesas ¿Cuantos hay en total?,En total hay 118 mesas
programador tiene 53 pajaros y suma 55 pajaros ¿Cuantos hay al final ?,Al final hay 108 pajaros
Roberto tiene 64 platano y Celeste tiene 84 toronjas ¿Cuantos frutas hay en total?,En total hay 148 frutas
un profesor tiene 27 coches y resta 17 coches ¿Cuantos tiene al final?,Al final tiene 10 coches
Una azafata tiene 52 lapices y añade 95 lapices ¿Cuantos hay en total?,En total hay 147 lapices
ingeniero tiene 50 lapices y incluye 32 lapices ¿Cuantos hay al final ?,Al final hay 82 lapices
Ana tiene 51 sandias y Cesar tiene 58 sandias ¿Cuantos frutas hay en total?,En total hay 109 frutas
hay 36 pajaros en un arbol y se van volando 13 ¿Cuantos pajaros quedan?,Quedan 23 pajaros
hay 17 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Quedan 6 pajaros
Lucas tiene 75 balones de basquet y Ana tiene 31 balones de rugby ¿Cuantos balones hay en total?,En total hay 106 balones
un perro tiene 10 frutas y le quitan 3 frutas ¿Cuantos le queda?,Le queda 7 frutas
jose tiene 52 canicas y excluye 32 canicas ¿Cuantos le queda?,Le queda 20 canicas
Pablo tiene 55 manzanas y Julio tiene 69 coco ¿Cuantos frutas hay en total?,En total hay 124 frutas
hay 10 niños en clase y se van 75 ¿Cuantos niños quedan?,Quedan 65 niños
Una azafata tiene 9 unidades y añade 35 unidades ¿Cuantos hay al final ?,Al final hay 44 unidades
Lorena tiene 45 balones de basquet y Francisco tiene 77 balones de tenis ¿Cuantos balones hay en total?,En total hay 122 balones
Francisco tiene 38 uvas y Gustavo tiene 2 ciruela ¿Cuantos frutas hay en total?,En total hay 40 frutas
Cesar tiene 58 balones de basquet y Gustavo tiene 82 balones de voley ¿Cuantos balones hay en total?,En total hay 140 balones
Pedro tiene 90 uvas y Pablo tiene 13 platano ¿Cuantos frutas hay en total?,En total hay 103 frutas
Ana tiene 96 peras y Juan tiene 45 uvas ¿Cuantos frutas hay en total?,En total hay 141 frutas
Roberto tiene 78 toronjas y Pablo tiene 38 peras ¿Cuantos frutas hay en total?,En total hay 116 frutas
hay 34 pajaros en un arbol y se van volando 13 ¿Cuantos pajaros quedan?,Quedan 21 pajaros
medico tiene 25 canicas y le dan 2 canicas ¿Cuantos hay en total?,En total hay 27 canicas
un cirujano tiene 84 lapices y incluye 21 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 105 lapices
hay 15 niños en clase y se van 28 ¿Cuantos niños quedan?,Quedan 13 niños
Lorena tiene 100 balones de basquet y Pablo tiene 15 balones de voley ¿Cuantos balones hay en total?,En total hay 115 balones
un bombero tiene 76 balones y le dan 26 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 102 balones
hay 24 tortillas en una mesa y se comen 36 ¿Cuantos tortillas quedan?,Quedan 12 tortillas
un policia tiene 80 relojes y le quitan 75 relojes ¿Cuanto queda?,Queda 5 relojes
Gustavo tiene 18 uvas y Francisco tiene 27 toronjas ¿Cuantos frutas hay en total?,En total hay 45 frutas
cirujano tiene 51 teles y incluye 15 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 66 teles
paloma tiene 74 pajaros y resta 12 pajaros ¿Cuantos le queda?,Le queda 62 pajaros
un actor tiene 55 sillas y excluye 19 sillas ¿Cuanto queda?,Queda 36 sillas
programador tiene 91 sillas y le entregan 2 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 93 sillas
jose tiene 31 relojes y le extraen 4 relojes ¿Cuantos tiene al final?,Al final tiene 27 relojes
Julio tiene 9 manzanas y Juan tiene 97 ciruela ¿Cuantos frutas hay en total?,En total hay 106 frutas
jose tiene 90 moviles y con una diferencia 88 moviles ¿Cuantos tiene al final?,Al final tiene 2 moviles
hay 26 tortillas en una mesa y se comen 67 ¿Cuantos tortillas quedan?,Quedan 41 tortillas
Lorena tiene 12 manzanas y Juan tiene 94 platano ¿Cuantos frutas hay en total?,En total hay 106 frutas
